$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01
$099,$01,$09A,$01,$09B,$01,$09C,$01,$09D,$01,$09E,$01,$09F,$01,$0A6,$01,$0A7,$01,$0A8,$01,$0A9,$01,$0AA,$01,$0AB,$01,$0AC,$01,$0AD,$01,$0AE,$01,$0AF,$01,$0B6,$01,$0B7,$01,$099,$01
$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01,$099,$01
$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00
$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00
$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00
$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$080,$01,$081,$01,$082,$01,$083,$01,$084,$01,$085,$01,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00
$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$090,$01,$091,$01,$092,$01,$093,$01,$094,$01,$095,$01,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00
$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$0A0,$01,$0A1,$01,$0A2,$01,$0A3,$01,$0A4,$01,$0A5,$01,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00
$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$0B0,$01,$0B1,$01,$0B2,$01,$0B3,$01,$0B4,$01,$0B5,$01,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00
$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$0C0,$01,$0C1,$01,$0C2,$01,$0C3,$01,$0C4,$01,$0C5,$01,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00
$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$0D0,$01,$0D1,$01,$0D2,$01,$0D3,$01,$0D4,$01,$0D5,$01,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00
$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00
$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00
$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00
$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00
$098,$00,$098,$00,$098,$00,$098,$00,$086,$00,$087,$00,$088,$00,$089,$00,$08A,$00,$08B,$00,$08C,$00,$08D,$00,$08E,$00,$08F,$00,$096,$00,$097,$00,$098,$00,$098,$00,$098,$00,$098,$00
$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00,$098,$00
