$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06
$082,$06,$19A,$07,$1DE,$07,$1F0,$07,$1CA,$07,$1DE,$07,$1BA,$07,$12F,$07,$19B,$07,$1F9,$07,$1ED,$07,$1DE,$07,$190,$07,$19C,$07,$1DE,$07,$082,$06,$082,$06,$082,$06,$082,$06,$082,$06
$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06
$04D,$00,$04E,$00,$04F,$00,$088,$00,$086,$00,$089,$00,$02F,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$031,$03
$093,$00,$094,$00,$095,$00,$096,$00,$094,$00,$097,$00,$03D,$03,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$03F,$03
$0A1,$00,$0A2,$00,$0A3,$00,$0A4,$00,$0A5,$00,$0A6,$00,$03D,$03,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$03F,$03
$0B1,$00,$0B2,$00,$0B3,$00,$0B4,$00,$0B5,$00,$0B6,$00,$03D,$03,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$03F,$03
$0B1,$00,$0B2,$00,$0C0,$00,$0C1,$00,$0B5,$00,$0C2,$00,$03D,$03,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$03F,$03
$0CC,$00,$0B2,$00,$0C0,$00,$0CD,$00,$0B5,$00,$0CE,$00,$03D,$03,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$03F,$03
$080,$00,$0D6,$00,$0D7,$00,$0D8,$00,$0D9,$00,$0DA,$00,$041,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$043,$03
$080,$00,$0E4,$00,$0E5,$00,$0E6,$00,$0E7,$00,$0E5,$20,$0E8,$00,$0E9,$00,$0E5,$00,$0EA,$00,$0EB,$00,$0E5,$20,$0E0,$04,$0E1,$04,$0E1,$04,$0E1,$04,$0E1,$04,$0E1,$04,$0E1,$04,$0E2,$04
$0F0,$00,$0F1,$00,$0F2,$00,$0F3,$00,$0F4,$00,$0F5,$00,$0F6,$00,$0F7,$00,$0F5,$20,$0F8,$00,$0F9,$00,$0F5,$00,$0E3,$04,$1BA,$07,$1DE,$07,$1B3,$07,$1B9,$07,$1B2,$07,$120,$07,$0EF,$04
$0FD,$00,$1F2,$07,$190,$07,$196,$07,$190,$07,$12F,$07,$002,$00,$003,$00,$001,$20,$004,$00,$005,$00,$001,$00,$0E3,$04,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$0EF,$04
$009,$00,$00A,$00,$00B,$00,$00C,$00,$00D,$00,$00E,$00,$00F,$00,$010,$00,$011,$00,$012,$00,$013,$00,$011,$20,$0EC,$04,$0ED,$04,$0ED,$04,$0ED,$04,$0ED,$04,$0ED,$04,$0ED,$04,$0EE,$04
$02F,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$031,$03
$03D,$03,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$03F,$03
$03D,$03,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$03F,$03
$041,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$043,$03
