$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03
$086,$03,$080,$02,$081,$02,$082,$02,$082,$22,$081,$22,$080,$22,$086,$03,$087,$03,$088,$03,$088,$03,$088,$03,$088,$03,$088,$03,$088,$03,$088,$03,$088,$03,$088,$03,$087,$23,$086,$03
$086,$03,$090,$02,$091,$02,$092,$02,$092,$22,$091,$22,$090,$22,$086,$03,$089,$03,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$0AC,$03,$086,$03
$086,$03,$0A0,$02,$0A1,$02,$0A2,$02,$0A2,$22,$0A1,$22,$0A0,$22,$086,$03,$089,$03,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$0AC,$03,$086,$03
$086,$03,$0A0,$42,$0A1,$42,$0A2,$42,$0A2,$62,$0A1,$62,$0A0,$62,$086,$03,$089,$03,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$0AC,$03,$086,$03
$086,$03,$090,$42,$091,$42,$092,$42,$092,$62,$091,$62,$090,$62,$086,$03,$089,$03,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$0AC,$03,$086,$03
$086,$03,$080,$42,$081,$42,$082,$42,$082,$62,$081,$62,$080,$62,$086,$03,$087,$43,$0AB,$03,$0AB,$03,$0AB,$03,$0AB,$03,$0AB,$03,$0AB,$03,$0AB,$03,$0AB,$03,$0AB,$03,$0AD,$03,$086,$03
$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03
$0BD,$03,$0BC,$03,$100,$06,$100,$06,$0BE,$03,$100,$06,$100,$06,$100,$06,$0BF,$03,$0AF,$03,$0AF,$03,$0AF,$03,$0AF,$03,$0AF,$03,$0AF,$03,$0BD,$23,$08A,$03,$08A,$03,$08A,$03,$08A,$03
$0AE,$03,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$0BA,$03,$08A,$03,$08A,$03,$08A,$03,$08A,$03
$0AE,$03,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$0BA,$03,$08A,$03,$08A,$03,$08A,$03,$08A,$03
$0AE,$03,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$0BA,$03,$0A6,$01,$0A7,$01,$0A8,$01,$0A9,$01
$0AE,$03,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$0BA,$03,$0B6,$01,$0B7,$01,$0B8,$01,$0B9,$01
$0AE,$03,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$100,$10,$0BA,$03,$0C6,$01,$0C7,$01,$0C8,$01,$0C9,$01
$08A,$03,$0BB,$03,$0BB,$03,$0BB,$03,$0BB,$03,$0BB,$03,$0BB,$03,$0BB,$03,$0BB,$03,$0BB,$03,$0BB,$03,$0BB,$03,$0BB,$03,$0BB,$03,$0BB,$03,$0CA,$03,$08A,$03,$08A,$03,$08A,$03,$08A,$03
$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03
$086,$03,$086,$03,$08B,$00,$08C,$00,$08D,$00,$08E,$00,$08F,$00,$096,$00,$097,$00,$098,$00,$099,$00,$09A,$00,$09B,$00,$09C,$00,$09D,$00,$09E,$00,$09F,$00,$0AA,$00,$086,$03,$086,$03
$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03,$086,$03
